StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
9272, 13232, 17690, , ,,,2.83898133,+00.96402619,177.935943060498, 7.64,1.38868157784531,F4V         , 0.500
9273, 13233, 17699, , ,,,2.83929711,-04.98642543,140.449438202247, 7.15,1.41239996818428,A0          ,-0.100
9274, 13234, 17677, , ,,,2.83960833,+02.44371922,127.064803049555, 8.62,3.09987366179532,F5          , 0.418
9275, 13236, 17727, , ,,,2.8396855,-11.53277132,114.942528735632, 8.65,3.34759626309309,G0          , 0.601
9276, 13237, 17595, , ,,,2.83986414,+32.84802359,877.19298245614, 8.02,-1.69547574331764,A0          , 0.257
9277, 13238, 17529, , ,,,2.84019727,+49.94466132,298.507462686567, 8.82,1.44522403518423,A0          , 0.243
9278, 13239, 17831, , ,,,2.84024069,-42.22791231,178.25311942959, 8.50,2.24481430628081,G2V         , 0.637
9279, 13241, 17606, , ,,,2.8405586,+31.97299926,149.925037481259, 6.58,0.700629169582745,A0          , 0.032
9280, 13242, 17632, , ,,,2.84056253,+23.67755513,172.413793103448, 8.44,2.25713996781469,A5          , 0.284
9281, 13243, 17866, , ,,,2.84063984,-48.10699847,98.8142292490119, 8.91,3.9359025625189,G2/G3V      , 0.662
9282, 13244, 18293, 872,,   Nu  Hyi, ,2.84126023,-75.06688108,100.806451612903, 4.76,-0.257441639229106,K3III       , 1.337
9283, 13246, 17662, , ,,,2.84171783,+11.87036270,70.6713780918728, 8.46,4.21378219930155,G5          , 0.813
9284, 13248, 17771, , ,,,2.84199087,-20.12701178,510.204081632653, 8.66,0.121280356782382,A3IV        , 0.169
9285, 13251, 17507, , ,,,2.84254213,+52.95083247,338.983050847458, 8.90,1.24911007989082,A0          , 0.112
9286, 13250, 17521, , ,,,2.84254402,+52.28304160,606.060606060606, 7.53,-1.38258027893047,B9          , 0.072
9287, 13252, 17594, , ,,,2.84265321,+36.29690530,246.305418719212, 8.41,1.45263016788597,K5          , 1.652
9288, 13253, 17649, , ,,,2.84275636,+22.11393230,300.3003003003, 8.56,1.1722211675316,F5          , 0.479
9289, 13254, 17584, 840,, 16    Per, ,2.84303172,+38.31890838,39.1542678151919, 4.22,1.25610446463698,F2III       , 0.343
